file	error	job.distributed.entity_sync_level	job.distributed.partition_type	negative_sampling.implementation	negative_sampling.num_samples.o	negative_sampling.num_samples.p	negative_sampling.num_samples.s	negative_sampling.sampling_type	negative_sampling.shared	negative_sampling.shared_type	train.type
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-distributed-random-R-1@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-distributed-random-R-4@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-distributed-relation-1@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-distributed-stratification-CARL-1@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-parallel-random-R-2@1.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-parallel-relation-2@1.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-parallel-stratification-CARL-2@1.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-sequential-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/complex/complex-fb15k-sequential.yaml		batch	random	batch	400	0	191	uniform	True	naive	negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-distributed-graph-cut-L-1@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-distributed-random-R-1@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-distributed-relation-1@2.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-distributed-stratification-CARL-1@2.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-parallel-graph-cut-L-2@1.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-parallel-random-R-2@1.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-parallel-relation-2@1.yaml		batch	relation	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-parallel-stratification-CARL-2@1.yaml		partition	stratification	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-sequential-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/fb15k/dim128/rotate/rotate-fb15k-sequential.yaml		batch	random	batch	400	0	191	uniform	True	naive	negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/complex-freebase-sequential-B-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/complex-freebase-sequential-mm.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/graph-cut/complex-freebase-distributed-graph-cut-L-2@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/graph-cut/complex-freebase-distributed-graph-cut-LB-2@2.yaml		batch	graph-cut	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-L-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-LB-2@2.yaml		batch	random	batch	400	0	191	pooled	True	naive	distributed_negative_sampling
dist-kge/examples/experiments/freebase/dim128/complex/random/complex-freebase-distributed-random-R-2@2.yaml		batch	random	batch	400	0	191	uniform	True	naive	distributed_negative_sampling
