#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:15:21       0    225     64      -     95     79      0      0      0      0   8551   2715      0      0   2442      5      0    563      9 
 20251215    18:15:21       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:21       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:22       0    225     63      -     95     83      0      0      0      0   8551   2655      0      0   2442      5      0     61     73 
 20251215    18:15:22       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:22       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:23       0    225     64      -     95     80      0      0      0      0   8551   2700      0      0   2442      5      0    609     75 
 20251215    18:15:23       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:23       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:25       0    226     65      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0     81     68 
 20251215    18:15:25       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:25       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:26       0    224     65      -     94     79      0      0      0      0   8551   2640      0      0   2442      5      0    609     76 
 20251215    18:15:26       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:26       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:27       0    225     65      -     94     81      0      0      0      0   8551   2640      0      0   2442      5      0     84     68 
 20251215    18:15:27       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:27       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:28       0    226     64      -     95     83      0      0      0      0   8551   2670      0      0   2442      5      0    609     75 
 20251215    18:15:28       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:28       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:29       0    225     65      -     95     81      0      0      0      0   8551   2715      0      0   2442      5      0     84     68 
 20251215    18:15:29       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:29       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:30       0    225     66      -     94     79      0      0      0      0   8551   2715      0      0   2442      5      0    607     75 
 20251215    18:15:30       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:30       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:31       0    226     65      -     94     80      0      0      0      0   8551   2580      0      0   2442      5      0     63     72 
 20251215    18:15:31       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:31       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:33       0    225     65      -     95     83      0      0      0      0   8551   2655      0      0   2442      5      0    604     75 
 20251215    18:15:33       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:33       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:34       0    225     66      -     95     79      0      0      0      0   8551   2715      0      0   2442      5      0     53     74 
 20251215    18:15:34       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:34       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:35       0    225     66      -     94     79      0      0      0      0   8551   2655      0      0   2442      5      0    600     76 
 20251215    18:15:35       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:35       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:36       0    226     66      -     94     80      0      0      0      0   8551   2610      0      0   2442      5      0     45     78 
 20251215    18:15:36       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:36       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:37       0    226     65      -     95     83      0      0      0      0   8551   2655      0      0   2442      5      0      0      0 
 20251215    18:15:37       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:15:37       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:38       0     91     59      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
 20251215    18:15:38       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:38       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:39       0     69     57      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:15:39       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:39       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:41       0     95     62      -     69     57      0      0      0      0   8551   2715      0      0   1762      5      0   1059    123 
 20251215    18:15:41       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:41       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:42       0    200     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1055    123 
 20251215    18:15:42       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:42       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:43       0    187     59      -     71     59      0      0      0      0   8551   2715      0      0   1762      5      0      0      0 
 20251215    18:15:43       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:43       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:44       0     72     57      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
 20251215    18:15:44       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:44       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:45       0     68     56      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:15:45       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:45       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:46       0     69     59      -      0      0      0      0      0      0   8551   2550      0      0   1762      5      0   1054    123 
 20251215    18:15:46       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:46       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:47       0    199     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1056    124 
 20251215    18:15:47       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:47       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:48       0    201     62      -     72     60      0      0      0      0   8551   2715      0      0   1762      5      0   1056    124 
 20251215    18:15:48       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:48       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:50       0    201     63      -     69     58      0      0      0      0   8551   2715      0      0   1762      5      0   1059    124 
 20251215    18:15:50       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:50       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:51       0    200     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1057    124 
 20251215    18:15:51       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:51       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:52       0    202     63      -     72     61      0      0      0      0   8551   2715      0      0   1762      5      0   1056    123 
 20251215    18:15:52       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:52       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:53       0    177     58      -     72     61      0      0      0      0   8551   2715      0      0   1762      5      0      0      0 
 20251215    18:15:53       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:53       2     10     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:54       0     71     57      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:15:54       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:54       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:55       0     66     55      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:15:55       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:55       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:56       0     70     56      -     30      9      0      0      0      0   8551   2550      0      0   1764      5      0    268     36 
 20251215    18:15:56       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:56       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:58       0     71     54      -      0      0      0      0      0      0   8551   2550      0      0   1764      5      0      0      0 
 20251215    18:15:58       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:58       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:59       0     52     53      -      0      0      0      0      0      0   8551   2550      0      0   1634      5      0      0      0 
 20251215    18:15:59       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:15:59       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:00       0     63     56      -      0      0      0      0      0      0   8551   2550      0      0   2442      5      0    595      9 
 20251215    18:16:00       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:00       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:01       0    218     61      -     94     79      0      0      0      0   8551   2730      0      0   2442      5      0    603     76 
 20251215    18:16:01       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:01       2      8     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:02       0    222     61      -     93     79      0      0      0      0   8551   2715      0      0   2442      5      0    569     77 
 20251215    18:16:02       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:02       2      9     29      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:16:03       0    223     61      -     95     82      0      0      0      0   8551   2640      0      0   2442      5      0     69     72 
