index, name, uuid, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 83, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 94, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 94, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 83, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, GPU-6adc9505-af45-4005-1682-6fb9910c889f, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, GPU-879273ae-87e3-5160-934c-b21413f8a183, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, GPU-0da9f2cd-67a6-4aee-3734-1ba42b668169, 95, 81, 32760, 2442
