index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2
