#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:21:28       0    226     63      -     94     81      0      0      0      0   8551   2655      0      0   2442      5      0     45     78 
 20251215    18:21:28       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:28       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:29       0    225     63      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0     45     79 
 20251215    18:21:29       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:29       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:30       0    225     64      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0    611     76 
 20251215    18:21:30       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:30       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:31       0    225     64      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0    595     18 
 20251215    18:21:31       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:31       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:32       0    225     64      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0     82     68 
 20251215    18:21:32       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:32       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:34       0    226     64      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0    567     77 
 20251215    18:21:34       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:34       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:35       0    225     65      -     94     79      0      0      0      0   8551   2715      0      0   2442      5      0    599     76 
 20251215    18:21:35       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:35       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:36       0    225     65      -     94     80      0      0      0      0   8551   2715      0      0   2442      5      0     85     67 
 20251215    18:21:36       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:36       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:37       0    226     65      -     95     81      0      0      0      0   8551   2640      0      0   2442      5      0    591     77 
 20251215    18:21:37       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:37       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:38       0    225     65      -     95     81      0      0      0      0   8551   2595      0      0   2442      5      0    594     18 
 20251215    18:21:38       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:38       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:39       0    225     65      -     94     81      0      0      0      0   8551   2580      0      0   2442      5      0     43     77 
 20251215    18:21:39       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:39       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:40       0    225     65      -     95     82      0      0      0      0   8551   2595      0      0   2442      5      0    612     76 
 20251215    18:21:40       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:40       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:41       0    226     64      -     95     83      0      0      0      0   8551   2655      0      0   2442      5      0    592      8 
 20251215    18:21:41       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:41       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:43       0    226     64      -     95     83      0      0      0      0   8551   2655      0      0   2442      5      0    393     78 
 20251215    18:21:43       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:43       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:44       0    225     65      -     95     82      0      0      0      0   8551   2700      0      0   2442      5      0    595     30 
 20251215    18:21:44       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:21:44       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:45       0    226     66      -     95     80      0      0      0      0   8551   2715      0      0   2442      5      0     42     77 
 20251215    18:21:45       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:45       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:46       0    226     66      -     94     79      0      0      0      0   8551   2700      0      0   2442      5      0    610     75 
 20251215    18:21:46       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:46       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
