index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
0, NVIDIA RTX 5000 Ada Generation, 94, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 81, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 82, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 83, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 83, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 82, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 79, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 94, 80, 32760, 2442
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 95, 82, 32760, 2442
